item1,item2,value1,value2,value3,value4,value5,value6,value7
100年 3月,金門縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 4月,新北市,122.48,0.0,70.5,4.48,0.55,21.99,74.06
100年 4月,臺北市,87.87,0.0,71.1,3.5,0.67,28.88,70.6
100年 4月,桃園市,85.73,0.0,78.4,6.25,0.53,23.75,71.23
100年 4月,臺中市,142.52,0.0,93.4,4.14,0.58,22.28,80.96
100年 4月,臺南市,180.21,0.0,95.2,4.33,0.44,14.68,82.35
100年 4月,高雄市,107.1,0.0,90.7,6.08,0.45,17.23,80.46
100年 4月,宜蘭縣,79.3,0.0,55.6,2.55,0.4,11.25,61.4
100年 4月,新竹縣,119.17,0.0,82.0,3.55,0.44,17.5,74.25
100年 4月,苗栗縣,114.55,0.0,81.1,3.55,0.43,15.8,75.3
100年 4月,彰化縣,126.54,0.0,96.1,5.15,0.44,18.45,72.35
100年 4月,南投縣,96.13,0.0,100.2,3.5,0.52,18.95,84.6
100年 4月,雲林縣,136.23,0.0,97.2,3.65,0.42,14.65,81.35
100年 4月,嘉義縣,90.72,0.0,101.3,3.9,0.4,12.15,76.85
100年 4月,屏東縣,150.89,0.0,70.5,3.53,0.38,9.6,74.53
100年 4月,臺東縣,72.02,0.0,43.0,2.0,0.38,7.2,57.5
100年 4月,花蓮縣,84.26,0.0,47.3,1.8,0.44,11.0,58.1
100年 4月,澎湖縣,44.02,0.0,0.0,0.0,0.0,0.0,0.0
100年 4月,基隆市,106.11,0.0,49.5,3.5,0.48,17.6,69.8
100年 4月,新竹市,78.95,0.0,86.1,4.0,0.56,21.9,74.8
100年 4月,嘉義市,160.57,0.0,105.0,4.3,0.49,15.3,76.3
100年 4月,金門縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 4月,連江縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 5月,新北市,95.74,0.0,41.6,3.64,0.5,19.29,65.78
100年 5月,臺北市,63.26,0.0,42.7,3.12,0.62,26.12,60.54
100年 5月,桃園市,63.27,0.0,47.6,4.68,0.45,21.15,61.4
100年 5月,臺中市,90.09,0.0,54.9,3.42,0.49,18.82,69.26
100年 5月,臺南市,62.51,0.0,59.3,3.6,0.37,12.4,67.4
100年 5月,高雄市,89.38,0.0,56.2,5.86,0.39,15.8,65.61
100年 5月,宜蘭縣,46.16,0.0,32.5,2.2,0.37,9.85,53.45
100年 5月,新竹縣,68.54,0.0,46.4,2.5,0.33,14.2,63.55
